name,category,year,address,lon,lat
Innisfree Bed & Breakfast,Hotel/Motel,2015,"702 W Colfax Ave, South Bend, In 46601",-86.2596052,41.6774285
Pauls Auto Yard,Scrap Metal /Junk Dealers,2015,"3300 S Main St, South Bend, In 46601",-86.25143899999999,41.640639
Crooked Ewe Brewery & Ale Hous,Restaurant,2015,"1047 Lincoln Way E, South Bend, In 46601",-86.235976,41.66439039999999
The Creperie,Restaurant,2015,"121 S Niles Ave, South Bend, In 46601",-86.2445084,41.6754404
South Bend Cubs Booster Club,Charitable Solicitations,2015,"501 W South St, South Bend, In 46601",-86.2558959,41.6698617
Smg F&B Llc (Savor) Center Caf,Restaurant,2015,"120 S Saint Joseph St, South Bend, In 46601",-86.24801409999999,41.675853
South Bend Auto Sales And Serv,Automotive Repair & Svc,2015,"1902 S Michigan St, South Bend, In 46601",-86.24925019999999,41.6541468
City Of South Bend/United Way,Charitable Solicitations,2015,"227 W Jefferson Blvd, South Bend, In 46601",-86.253079,41.67540839999999
Roy Saenz  -  Primerica,Peddler & Canvasser,2015,"113 W Monroe St, South Bend, In 46601",-86.250936,41.671183
Shunette Brown,Peddler & Canvasser,2015,"1119 E Broadway St, South Bend, In 46601",-86.234051,41.66045769999999
South Bend Brew Werks,Restaurant,2015,"216 S Michigan St, South Bend, In 46601",-86.2500659,41.6744361
Saint Margaret's House,Restaurant,2015,"117 N Lafayette Blvd, South Bend, In 46601",-86.2538527,41.676775
The Salvation Army,Donation Boxes And Containers,2015,"510 S Main St, South Bend, In 46601",-86.25137269999999,41.6704146
Flamingo Inc.,Restaurant,2015,"425 S Main St, South Bend, In 46601",-86.252521,41.6714773
Y.w.c.a. Of St Joseph Co,Restaurant,2015,"1102 Fellows St, South Bend, In 46601",-86.24311949999999,41.6634568
Precision Transmission,Automotive Repair & Svc,2015,"902 S Michigan St, South Bend, In 46601",-86.2495478,41.6649108
"Mason's Htg, A/C & Appliance",Second Hand Dealers,2015,"118 E Sample St, South Bend, In 46601",-86.2490716,41.664973
Oliver Inn,Hotel/Motel,2015,"630 W Washington St, South Bend, In 46601",-86.2585936,41.6759376
"Zolman Tire, Inc",Automotive Repair & Svc,2015,"406 E Monroe St, South Bend, In 46601",-86.2453695,41.6706116
"Red's Worldwide, Llc",Precious Metal Dealers,2015,"1072 Lincoln Way E, South Bend, In 46601",-86.2362538,41.66319379999999
"Red's Worldwide, Llc",Second Hand Dealers,2015,"1072 Lincoln Way E, South Bend, In 46601",-86.2362538,41.66319379999999
Indoor Garage Sale,Second Hand Dealers,2015,"1201 W Western Ave, South Bend, In 46601",-86.2683122,41.672481
Hedman Ptl Tire,Automotive Repair & Svc,2015,"135 N Lafayette Blvd, South Bend, In 46601",-86.2540203,41.6774212
Firestone Complete Auto Care,Automotive Repair & Svc,2015,"4921 W Western Ave, South Bend, In 46601",-86.31719389999999,41.6723819
Professional Sports Catering,Restaurant,2015,"501 W South St, South Bend, In 46601",-86.2558959,41.6698617
Mark Temple Tree Service,Arborist/Tree Service,2015,"202 S Olive St, South Bend, In 46601",-86.2829836,41.6751925
"Fiddler's Hearth, Inc",Restaurant,2015,"127 N Main St, South Bend, In 46601",-86.2523252,41.6772891
Jimmy John's,Restaurant,2015,"138 S Michigan St, South Bend, In 46601",-86.2499716,41.6752818
South Bend Chocolate Co,Restaurant,2015,"615 N Michigan St, South Bend, In 46601",-86.2519755,41.68369089999999
Dew Drop Inn,Restaurant,2015,"822 S Lafayette Blvd, South Bend, In 46601",-86.2530393,41.6652577
"Mc Investments, Llc",Public Parking Facility,2015,"117 S William St, South Bend, In 46601",-86.2564009,41.6755304
